Client,Overall AHT,Review AHT,Validation AHT,Jun-2024,Jul-2024,Aug-2024,Sep-2024,Oct-2024,Nov-2024,Dec-2024,Jan-2025,Feb-2025,Mar-2025,Apr-2025,May-2025,Jun-2025,Grand total
sia-asc-prod,16,12,4,0,0,0,0,0,0,1284,4143,2424,230,220,261,178,8740
sia-con-prod,21.1,16.1,5,386,252,328,309,556,451,403,465,436,409,427,450,540,5412
sia-csu-prod-slate,9.9,6.9,3,1524,1516,101,93,60,2707,1543,1262,845,1051,787,560,462,12511
sia-gon-prod,15,11,4,0,0,0,0,0,4271,562,699,565,268,410,3,0,6778
sia-gvsu-prod,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,3101,3101
sia-hu-prod,21,15,6,18,35,30,25,8,7,1,19,21,23,24,15,5,231
sia-jku-prod,1,1,0,501,231,174,40,179,404,410,686,472,596,426,445,502,5066
sia-lin-prod,11.7,8.7,3,0,0,0,0,1020,2022,3664,4161,"1,152","1,454",1241,1051,964,16729
sia-ltu-prod,20,15,5,0,0,0,141,359,78,56,138,117,128,99,31,,1147
sia-msu-prod,20,15,5,0,0,0,0,0,0,99,63,111,86,54,35,19,467
sia-ncsu-prod,12,8.5,3.5,0,0,0,0,1620,1040,1194,2502,3679,1240,1252,3132,1738,17397
sia-nightingale-prod,14.2,10.2,4,0,0,0,0,0,0,166,11,715,461,488,669,2050,4560
sia-nmsu-prod,-,-,-,0,25,6,0,0,0,0,0,0,0,0,0,0,31
sia-nova-prod,22,18,4,8474,5998,4195,2705,5081,8916,3923,8178,7815,3171,2618,3324,4519,68917
sia-oregon-prod,10,7,3,0,0,0,0,0,0,507,995,717,965,841,601,1599,6225
sia-scr-prod,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,3,3
sia-spel-prod,14,10,4,0,0,0,0,0,0,0,0,0,0,0,1,192,193
sia-stcu-prod,23,19,4,81,85,110,68,72,68,85,58,39,3,,939,129,1737
sia-tex-prod,10,6,4,0,0,0,0,0,1606,1407,670,3200,440,1520,855,1194,10892
sia-uga-prod,7,5,2,0,0,0,0,0,0,0,0,0,1555,1349,2250,1322,6476
sia-uom-prod,27,20,7,368,804,421,238,210,192,188,83,227,265,195,202,253,3646
sia-uttyler-prod,15,10,5,0,0,0,0,0,2129,2,2579,1302,1442,1489,1831,1434,12208
sia-amu-uat,-,-,-,0,0,0,0,0,0,0,0,0,0,0,20,0,20
sia-asc-uat,16,12,4,0,0,0,0,0,115,21,18,6,0,0,0,0,160
sia-bpu-uat,-,-,-,0,0,0,0,0,0,0,0,0,0,0,592,38,630
sia-gon-uat,15,11,4,0,0,0,0,80,30,2,108,0,0,0,0,0,220
sia-gvsu-uat,6,4,2,0,0,0,0,0,0,0,0,0,0,0,66,102,168
sia-hu-uat,21,15,6,0,0,0,0,0,25,4,0,7,0,0,0,0,36
sia-jku-uat,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
sia-lin-uat,11.7,8.7,3,0,0,0,73,731,0,0,0,0,1,65,71,0,941
sia-mccc-uat,-,-,-,0,0,0,0,0,0,0,0,0,0,77,0,7,84
sia-msu-uat,20,15,5,0,0,0,0,0,55,5,0,0,12,0,0,0,72
sia-ncsu-uat,12,8.5,3.5,0,0,1,0,0,0,27,34,45,109,299,273,81,869
sia-nightingale-uat,14,10,4,0,0,0,0,0,118,0,0,2,1,0,0,0,121
sia-nku-uat,14,10,4,0,0,0,0,0,0,0,0,15,127,133,28,22,325
sia-nova-uat,22,16,6,2,0,15,314,4,54,1,94,60,46,135,12,26,763
sia-oregon-uat,17,12,5,0,0,0,0,0,49,48,2,0,1,0,0,1,101
sia-scr-uat,29,22,7,0,0,0,0,0,0,0,0,0,0,29,35,29,93
sia-spel-uat,14,10,4,0,0,0,0,0,0,0,254,168,2,2,0,0,426
sia-uga-uat,15,10,5,0,0,0,0,0,0,0,0,80,53,0,0,0,133
sia-uoa-uat,27,20,7,0,0,0,0,0,0,0,0,0,0,0,0,213,213
sia-uom-uat,27,20,7,0,0,4,0,0,0,0,0,0,0,0,0,0,4
sia-utah-uat,-,-,-,0,0,0,0,0,11,0,0,0,0,0,0,0,11
Grand Total,,,,11354,9076,5385,4006,10036,24350,15760,27269,24317,14191,14215,17752,20723,198434
